track_name,bpm,onset_rate,rmse,zcr,spctrl_cent,spctrl_cont,spctrl_roll,spctrl_band,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
c2_6_wyw.wav,123.047,1286.322,0.106,0.052,3002.788,15.944,6454.019,3584.069,54.341,-13.430,-28.549,-52.543,48.081,-37.418,0.536,0.808,0.987,0.691,0.472,0.422,0.531,0.967,1.000,0.812,0.659,0.522,-230.237,108.923,-19.288,54.755,-5.933,27.545,9.844,21.015,7.474,12.956,7.975,7.438,5.310
x_3_ame.wav,126.048,1279.585,0.151,0.042,2440.104,16.494,5144.669,3044.056,57.897,101.214,-35.026,-82.881,22.627,36.160,0.670,0.651,0.776,0.974,0.559,0.480,0.423,0.562,0.742,0.792,1.000,0.555,-188.079,140.826,-23.007,48.869,-12.273,10.106,18.209,5.730,11.679,8.045,0.987,7.432,3.284
c1_5_ame.wav,126.048,1259.181,0.139,0.048,2539.409,16.057,5409.217,3378.461,85.959,53.414,130.125,216.458,5.519,13.628,0.614,0.445,0.697,0.829,1.000,0.608,0.337,0.521,0.539,0.613,0.442,0.544,-163.238,144.048,-6.229,42.497,-17.849,11.787,5.843,8.464,0.553,5.330,-1.352,2.833,-2.659
s_4_.wav,123.047,1287.711,0.386,0.059,3828.820,19.187,8155.117,4196.469,99.157,123.603,-126.116,26.397,-37.582,37.730,0.658,0.637,0.707,0.735,0.626,0.681,0.554,0.682,0.756,1.000,0.856,0.556,-79.874,88.981,-6.181,53.417,-3.863,34.299,7.759,22.369,10.219,17.132,16.032,13.749,6.504
x_1_ame.wav,126.048,1305.256,0.170,0.042,2637.476,16.929,5479.034,3046.747,20.497,-60.047,42.014,-36.925,26.244,11.340,0.551,0.464,0.384,0.377,0.311,0.478,0.634,1.000,0.994,0.873,0.701,0.688,-186.729,109.827,-54.371,52.988,13.062,32.522,24.833,17.713,17.123,12.072,16.234,15.522,8.504
c2_3_wyw.wav,123.047,1311.472,0.109,0.065,3426.293,15.985,7668.345,4064.795,-54.834,-97.174,-8.991,160.589,-13.160,-2.164,0.589,0.663,0.490,0.440,0.542,0.561,0.849,0.875,1.000,0.676,0.371,0.485,-141.255,123.143,-25.931,24.964,-18.200,28.353,-10.983,16.484,-6.126,17.747,-4.621,13.752,-3.462
s_16_.wav,99.384,1310.991,0.201,0.053,3272.482,17.614,7195.356,4474.449,393.057,260.310,-260.730,52.605,21.801,39.003,0.586,0.441,0.587,0.417,0.560,0.664,0.431,0.587,0.550,1.000,0.825,0.492,-141.969,129.810,28.729,21.558,-3.772,16.783,-3.028,15.615,-1.849,-2.081,-0.685,2.519,-6.044
c1_1_ame.wav,126.048,1301.322,0.158,0.063,2867.410,16.319,5960.447,3229.882,157.487,78.442,-33.316,-68.476,-31.030,22.127,0.657,0.702,1.000,0.804,0.602,0.476,0.488,0.541,0.569,0.657,0.575,0.522,-111.622,138.708,-50.186,40.904,-14.199,27.946,-2.248,9.188,3.632,12.852,2.498,8.307,7.739
s_5_.wav,123.047,1293.377,0.308,0.045,2750.079,16.491,5739.924,3238.263,90.066,32.917,65.242,117.758,-10.204,-14.375,0.589,0.489,0.583,0.749,0.910,0.968,0.797,0.913,1.000,0.762,0.581,0.612,-165.892,93.623,-33.450,48.564,11.559,40.673,17.645,31.212,16.922,18.630,16.572,13.855,12.504
c2_5_wyw.wav,123.047,1263.614,0.108,0.057,3088.698,16.289,6862.400,3848.504,48.225,-61.334,-22.227,-28.763,31.014,-29.963,0.652,0.926,1.000,0.719,0.659,0.531,0.665,0.978,0.951,0.866,0.688,0.670,-168.667,130.719,-13.702,37.547,-7.156,31.030,-10.524,15.590,-4.365,11.519,-2.122,7.905,-5.067
x_1_wyw.wav,123.047,1295.690,0.135,0.042,2702.617,15.993,5985.314,3628.963,-29.632,-55.157,7.623,151.026,-12.316,4.235,0.647,0.689,0.534,0.434,0.514,0.572,0.861,0.953,1.000,0.686,0.381,0.437,-157.510,131.569,-28.607,31.284,-8.886,35.246,2.323,22.987,4.371,18.165,2.318,15.281,7.011
c3_5_ldl.wav,120.185,1357.761,0.101,0.065,3460.768,17.264,7475.696,3841.652,200.702,58.007,-129.537,64.128,19.418,48.267,0.436,0.361,0.387,0.310,0.367,0.351,0.379,0.611,0.691,1.000,0.794,0.437,-169.263,118.613,-22.041,47.779,-11.691,19.910,-8.174,19.272,-1.232,10.372,-3.305,8.396,3.798
c1_3_ame.wav,126.048,1398.779,0.148,0.039,2232.067,18.216,4916.495,2999.244,64.022,66.855,-4.250,-37.527,-51.329,-28.977,0.667,0.712,0.846,1.000,0.634,0.597,0.493,0.516,0.843,0.889,0.805,0.687,-180.362,146.857,-21.127,51.152,-9.095,25.621,8.264,10.919,11.650,8.640,2.919,-0.164,2.914
c6_1_bfr.wav,129.199,1339.070,0.122,0.039,2517.641,16.602,5487.192,3362.275,-71.301,26.365,-253.105,-78.197,62.710,5.526,0.611,0.791,0.589,0.563,0.648,0.806,0.735,0.570,0.630,0.839,1.000,0.530,-170.442,144.984,-23.958,39.664,-3.713,24.139,-4.090,21.094,2.321,12.917,4.343,7.799,2.402
s_11_.wav,123.047,1282.582,0.317,0.080,3979.460,15.687,8396.466,4202.955,-22.457,34.706,-41.367,72.639,17.580,32.771,0.683,0.748,0.629,0.767,0.703,0.682,0.738,0.843,0.836,1.000,0.721,0.513,-101.906,81.931,-5.506,63.990,-7.961,31.696,5.708,17.169,5.076,11.765,9.036,6.100,0.807
s_12_.wav,120.185,1274.736,0.250,0.063,3770.312,17.569,8147.576,4133.045,159.002,108.388,-72.338,-59.062,-45.434,-22.360,0.756,0.744,1.000,0.571,0.418,0.464,0.406,0.630,0.802,0.906,0.753,0.686,-95.934,111.534,-6.786,47.975,-8.543,24.412,-5.069,16.564,-1.352,1.081,-3.124,1.730,4.112
x_2_ame.wav,129.199,1236.709,0.119,0.050,2728.744,15.786,5955.456,3266.772,11.997,30.277,-104.598,-174.408,61.951,5.391,0.471,0.411,0.353,0.357,0.401,0.371,0.268,0.244,0.262,0.537,1.000,0.852,-168.000,140.209,-36.378,38.055,-19.789,24.823,2.194,10.939,4.268,4.866,3.025,8.122,3.692
s_13_.wav,123.047,1323.672,0.266,0.055,3316.372,16.351,7266.231,4089.321,-18.933,-88.043,-175.103,191.117,-78.210,26.372,0.397,0.345,0.319,0.298,0.326,0.267,0.304,0.375,0.770,1.000,0.585,0.454,-80.058,125.793,-6.720,31.053,-8.243,18.393,-1.727,20.167,-1.304,-1.195,4.445,11.367,2.063
s_2_.wav,120.185,1301.984,0.354,0.036,2901.636,16.959,6622.135,3867.007,-141.338,5.502,-45.602,-55.189,44.683,11.745,0.671,0.928,0.861,1.000,0.736,0.746,0.789,0.750,0.808,0.824,0.937,0.608,-92.662,120.765,-1.388,50.887,-7.557,28.934,4.198,18.666,-0.217,7.792,2.110,10.013,2.488
c2_2_wyw.wav,126.048,1268.403,0.101,0.050,2975.383,15.524,6720.143,3780.073,-63.649,-57.446,-321.299,154.948,57.662,38.947,0.521,1.000,0.567,0.345,0.479,0.567,0.698,0.573,0.676,0.754,0.567,0.418,-182.587,134.200,-12.194,37.194,-13.133,27.418,-2.077,16.326,-0.611,10.814,-2.237,10.895,-2.751
s_7_.wav,123.047,1281.197,0.351,0.059,4867.753,16.120,10505.470,4986.391,73.357,6.033,-76.388,230.458,83.402,18.800,0.558,0.662,0.551,0.662,1.000,0.920,0.512,0.423,0.269,0.266,0.246,0.311,-90.043,57.257,13.518,58.741,-2.184,38.127,11.427,22.748,8.862,14.112,9.848,9.225,5.503
c2_4_wyw.wav,123.047,1322.811,0.117,0.063,3950.273,16.513,9191.969,4501.172,-5.870,-125.477,-1.238,-36.144,8.942,-9.842,0.677,0.880,0.885,0.788,0.788,0.702,1.000,0.901,0.913,0.833,0.694,0.764,-169.198,100.853,-3.555,49.325,-3.622,35.354,-10.600,15.257,-8.205,16.593,-9.540,11.010,-3.763
c2_1_wyw.wav,126.048,1242.744,0.110,0.031,2188.527,16.224,5023.770,3384.623,24.616,-106.310,-144.605,-4.453,57.851,53.124,0.502,0.759,0.646,0.685,0.958,0.887,0.945,0.850,0.835,1.000,0.912,0.608,-215.586,148.422,12.439,40.906,-10.126,24.392,4.677,11.112,2.715,6.368,0.987,6.600,-2.453
c5_2_bfr.wav,123.047,1298.497,0.078,0.056,3054.446,16.623,6822.134,3821.251,223.368,39.379,-110.689,80.629,10.784,44.656,0.705,0.637,0.694,0.635,0.703,0.542,0.425,0.560,0.674,1.000,0.825,0.608,-178.647,133.984,-15.547,37.485,-14.970,19.276,-7.646,11.553,-2.078,0.686,-3.868,5.242,-0.753
s_15_.wav,123.047,1306.239,0.350,0.074,3966.223,16.266,8419.849,4093.969,62.977,-63.232,76.925,150.692,15.312,7.203,0.829,0.637,0.563,0.555,0.716,0.678,0.590,0.843,1.000,0.867,0.689,0.634,-55.069,95.821,-26.569,37.275,-20.202,39.542,4.601,24.913,12.401,18.245,10.310,9.860,3.000
c1_4_ame.wav,126.048,1279.716,0.147,0.043,2492.429,17.628,5614.133,3228.386,9.720,-24.922,20.090,120.964,30.783,-54.019,0.855,0.845,0.729,0.708,1.000,0.809,0.583,0.631,0.697,0.584,0.709,0.832,-177.025,138.309,-28.417,40.001,-13.953,26.441,6.251,10.698,6.556,10.720,7.792,6.266,5.350
c3_1_ldl.wav,120.185,1300.398,0.107,0.058,2994.865,15.851,6548.877,3652.956,56.228,28.346,43.243,-106.272,13.268,9.063,0.719,0.576,0.772,0.874,0.899,0.901,0.953,0.913,0.850,0.927,1.000,0.857,-178.509,132.147,-14.497,40.455,-16.058,27.428,-4.612,12.621,-4.128,7.674,4.461,12.568,2.574
x_4_ame.wav,126.048,1265.315,0.136,0.049,2572.283,16.605,5362.784,2916.972,71.333,-24.545,64.297,-30.648,-18.556,14.441,0.598,0.442,0.459,0.515,0.441,0.364,0.393,0.558,0.712,1.000,0.914,0.905,-175.284,138.454,-50.487,47.918,-5.325,16.338,12.607,9.872,15.890,10.969,8.700,7.560,3.056
