track_name,bpm,onset_rate,rmse,zcr,spctrl_cent,spctrl_cont,spctrl_roll,spctrl_band,tonnetz1,tonnetz2,tonnetz3,tonnetz4,tonnetz5,tonnetz6,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13
130.mp3,99.384,2080.025,0.058,0.019,1518.350,19.600,3287.502,2043.562,653.870,-116.661,1068.470,-106.418,-70.961,-260.782,0.556,0.197,0.372,0.266,0.389,0.317,0.319,0.750,0.452,0.351,0.364,1.000,-439.397,139.269,42.299,12.254,12.868,9.695,9.561,8.915,6.377,5.817,5.883,4.349,1.164
1442.mp3,120.185,1849.034,0.053,0.033,1881.685,20.268,3340.319,2816.892,682.777,473.198,-66.875,348.249,9.477,48.710,0.962,0.404,0.434,0.330,0.884,1.000,0.678,0.921,0.485,0.711,0.399,0.466,-350.684,133.261,11.235,21.103,1.540,-6.829,-25.238,-15.054,-21.510,-21.139,-7.621,-6.186,-4.920
949.mp3,117.454,1906.682,0.190,0.046,2346.408,19.867,4753.879,2840.443,-209.911,-155.823,-98.051,129.259,49.502,10.747,0.562,0.965,1.000,0.762,0.814,0.386,0.400,0.465,0.573,0.568,0.350,0.390,-149.355,139.138,-39.864,44.492,15.414,19.836,4.826,13.654,5.206,12.314,-2.709,7.303,7.563
1325.mp3,161.499,1923.103,0.077,0.069,3194.230,19.441,6749.281,3599.329,-232.179,22.247,-102.266,-73.709,30.678,-74.997,0.679,0.815,0.827,0.825,0.761,0.802,0.592,0.522,0.654,0.574,1.000,0.774,-195.145,129.965,-30.349,39.814,-17.223,24.059,-16.275,17.064,-15.846,8.096,-12.909,2.502,1.217
565.mp3,107.666,1953.302,0.092,0.019,1278.759,20.164,2328.592,2318.008,-334.798,-694.308,-174.458,321.475,183.325,-261.931,0.337,1.000,0.600,0.396,0.549,0.395,0.368,0.533,0.710,0.361,0.225,0.483,-278.196,183.269,18.445,29.903,5.898,27.400,-7.553,3.383,1.840,3.491,-3.653,-4.977,-5.972
2032.mp3,139.675,8101.161,0.107,0.036,1491.408,19.454,3004.694,1856.075,1626.971,-1494.061,688.656,-896.609,-507.405,-235.784,0.522,0.594,0.837,0.634,0.642,0.583,0.712,0.699,0.643,0.711,0.565,1.000,-227.996,174.972,-22.676,17.647,17.775,7.719,2.630,2.347,4.789,2.191,-2.130,-2.574,0.341
1920.mp3,139.675,1750.860,0.077,0.090,3305.947,19.506,6645.665,3201.691,300.827,501.394,81.358,364.397,71.380,70.386,1.000,0.676,0.599,0.542,0.644,0.719,0.550,0.946,0.739,0.764,0.556,0.516,-163.788,142.271,-61.040,58.415,-11.501,30.043,-24.377,15.516,-16.394,7.163,-3.240,2.874,-2.361
1272.mp3,120.185,1933.134,0.071,0.032,1601.712,21.536,2621.101,2502.794,603.152,-85.104,-966.012,-168.117,244.025,138.516,0.150,0.511,0.387,0.284,0.459,0.225,0.102,0.148,0.146,1.000,0.429,0.176,-279.378,178.089,-2.175,10.175,-23.484,-0.076,-25.548,-7.308,-15.852,-7.440,-16.599,-11.624,-13.827
1133.mp3,107.666,1926.296,0.067,0.021,532.691,20.830,797.823,736.029,137.938,747.932,235.090,787.234,-45.091,146.996,0.887,0.470,0.552,0.913,0.848,0.660,0.242,0.826,1.000,0.790,0.325,0.232,-395.334,222.983,81.377,-1.302,-8.401,1.529,-0.428,-4.268,-5.563,-8.323,-10.079,-7.484,-3.173
78.mp3,101.333,1868.695,0.089,0.025,1734.284,21.039,3273.952,2863.690,429.834,-92.588,-84.415,-502.691,-110.923,-171.201,0.290,0.527,1.000,0.422,0.383,0.286,0.301,0.436,0.572,0.882,0.930,0.891,-320.339,130.201,36.531,38.467,14.844,21.632,0.633,18.274,4.461,5.137,4.558,-1.508,0.865
1855.mp3,132.512,1884.627,0.082,0.067,2080.117,18.613,3563.601,2069.878,374.400,-330.035,-97.054,273.817,69.940,-26.064,0.398,0.428,0.507,0.499,1.000,0.675,0.523,0.412,0.426,0.644,0.442,0.491,-189.948,197.248,-77.317,19.845,-7.775,20.593,-11.628,1.289,5.112,1.279,-1.154,2.910,0.370
1926.mp3,132.512,1934.787,0.083,0.077,3352.641,20.026,7680.115,3772.595,377.327,-157.288,11.966,-84.691,-9.486,14.692,0.629,0.574,0.877,0.584,0.727,0.626,0.760,0.811,0.583,1.000,0.676,0.885,-157.985,137.190,-32.577,46.285,-28.735,33.850,-17.365,21.332,-16.035,10.096,-7.846,5.419,0.128
1509.mp3,132.512,1810.225,0.070,0.061,2973.975,20.016,6498.161,3582.918,105.347,195.001,118.191,8.063,-26.538,-48.338,0.823,0.679,0.846,0.734,0.691,0.826,0.791,1.000,0.786,0.581,0.555,0.676,-213.628,138.228,-18.636,53.631,-9.928,23.504,-15.655,20.773,-10.928,9.972,-8.155,9.741,-3.584
279.mp3,112.347,1894.275,0.090,0.056,1950.384,20.941,3298.014,1973.465,331.555,283.716,373.208,43.590,42.520,-40.717,0.789,0.391,0.568,0.421,0.576,0.520,0.543,1.000,0.390,0.475,0.471,0.734,-209.312,187.112,-65.413,12.595,2.852,29.485,-14.027,-8.097,1.916,-7.289,-2.242,-10.574,-5.709
2008.mp3,151.999,9295.461,0.143,0.033,1995.977,20.435,4205.226,2745.825,-1696.296,-717.044,-655.602,109.209,222.557,-142.651,0.659,1.000,0.812,0.962,0.925,0.869,0.770,0.639,0.777,0.681,0.741,0.739,-213.353,151.154,-9.432,39.300,8.785,26.775,2.646,11.552,0.839,4.720,5.973,5.468,2.965
1456.mp3,123.047,2127.473,0.103,0.022,1637.070,21.209,3667.211,2813.349,149.994,-384.571,-159.393,610.780,-199.921,61.534,0.190,0.172,0.182,0.235,0.391,0.179,0.230,0.267,0.603,1.000,0.244,0.399,-272.139,143.285,10.748,72.184,14.660,34.456,2.331,2.003,8.730,7.701,-11.484,-1.640,-5.172
264.mp3,126.048,1950.124,0.042,0.041,1673.575,20.625,3188.317,1971.093,-7.279,332.916,344.038,70.291,132.417,-68.863,0.733,0.521,0.672,0.794,0.772,0.625,0.520,1.000,0.542,0.366,0.712,0.493,-310.799,177.376,-23.446,18.638,11.754,4.198,-9.923,1.763,6.764,-2.959,3.498,6.235,-2.329
1700.mp3,123.047,1973.611,0.156,0.038,2569.009,21.511,5745.032,3256.936,884.909,9.542,-227.449,591.226,43.874,130.037,0.816,0.536,0.673,0.511,1.000,0.523,0.359,0.363,0.506,0.927,0.545,0.501,-176.802,132.274,-29.913,69.804,5.891,33.954,-2.371,19.885,-1.863,15.317,-5.708,6.660,5.693
1413.mp3,143.555,1996.102,0.107,0.039,1533.024,21.136,2860.205,1945.406,765.186,-69.105,-7.276,265.504,81.971,65.756,0.873,0.525,0.645,0.489,0.931,0.530,0.402,0.596,0.463,1.000,0.682,0.794,-217.288,199.199,-41.693,10.292,26.499,23.316,-5.628,5.290,-2.971,-5.591,-7.777,-3.336,-8.920
605.mp3,123.047,1979.309,0.138,0.038,2306.479,20.778,5120.132,3259.282,384.144,22.598,169.957,103.648,30.814,-116.530,0.835,0.678,1.000,0.740,0.983,0.828,0.618,1.000,0.701,0.570,0.450,0.744,-193.819,147.806,0.875,44.451,-12.809,30.425,-6.992,9.099,-10.181,-2.584,-14.741,4.174,1.074
1948.mp3,120.185,2075.060,0.157,0.042,2663.723,17.890,6180.979,3371.129,160.596,283.358,342.696,-82.598,32.539,-94.530,0.312,0.369,0.590,0.626,0.451,0.464,0.551,1.000,0.922,0.600,0.410,0.302,-156.366,137.972,-34.448,61.790,9.883,32.367,-3.154,30.203,-10.738,15.426,3.575,4.119,3.383
1752.mp3,112.347,1967.039,0.092,0.069,3185.149,18.263,6882.869,3537.159,35.588,-102.799,-84.491,166.864,-4.223,-21.223,0.715,0.710,0.673,0.607,0.748,0.647,0.630,0.695,0.954,1.000,0.845,0.766,-196.005,124.581,-20.348,44.686,-11.248,28.515,0.288,21.485,-2.349,15.509,-1.567,8.950,0.463
798.mp3,120.185,1959.379,0.135,0.062,2730.160,19.452,5474.792,3012.150,-119.662,-62.101,264.588,-103.995,153.675,-91.420,0.290,0.529,0.414,0.400,0.323,0.318,0.576,1.000,0.907,0.499,0.502,0.420,-216.402,147.680,0.344,35.238,2.114,13.274,-22.247,9.717,-1.083,5.308,-12.277,6.163,5.686
