track_name,bpm,onset_rate,onset_strength_mean,onset_strength_std,zcr_mean,zcr_std,spec_cent_mean,spec_cent_std,spec_contrast_mean,spec_contrast_std,spec_rolloff_mean,spec_rolloff_std,spec_bandwidth_mean,spec_bandwidth_std,spectral_flatness_mean,spectral_flatness_std,tonnetz_mean_1,tonnetz_std_1,tonnetz_mean_2,tonnetz_std_2,tonnetz_mean_3,tonnetz_std_3,tonnetz_mean_4,tonnetz_std_4,tonnetz_mean_5,tonnetz_std_5,tonnetz_mean_6,tonnetz_std_6,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,mfcc_mean_2,mfcc_std_2,mfcc_mean_3,mfcc_std_3,mfcc_mean_4,mfcc_std_4,mfcc_mean_5,mfcc_std_5,mfcc_mean_6,mfcc_std_6,mfcc_mean_7,mfcc_std_7,mfcc_mean_8,mfcc_std_8,mfcc_mean_9,mfcc_std_9,mfcc_mean_10,mfcc_std_10,mfcc_mean_11,mfcc_std_11,mfcc_mean_12,mfcc_std_12,mfcc_mean_13,mfcc_std_13
818.mp3,109.957,1941.050,1.528,2.419,0.062,0.032,2259.571,861.521,18.686,11.327,4359.932,2029.631,2490.105,688.978,0.000941,0.027798,0.037,0.047,-0.003,0.055,-0.014,0.058,0.012,0.062,-0.002,0.029,-0.004,0.020,0.843,0.880,1.000,0.733,0.779,0.674,0.791,0.951,0.904,0.895,0.693,0.756,167.375,37.283,-47.230,25.344,21.159,21.252,-14.459,17.741,26.627,13.103,-6.408,10.905,1.040,11.048,2.655,9.948,0.181,9.806,0.647,7.914,-0.278,7.674,4.040,8.220
1584.mp3,126.048,1823.327,1.079,0.464,0.052,0.029,2604.780,738.525,18.618,11.139,5498.767,1493.624,3018.714,424.226,0.000300,0.000369,0.121,0.084,0.024,0.037,-0.148,0.087,-0.035,0.063,-0.007,0.022,0.031,0.028,0.367,0.515,0.650,0.455,0.417,0.452,0.383,0.344,0.366,1.000,0.561,0.362,144.952,21.865,-40.394,17.067,54.974,18.263,-8.922,13.051,24.577,11.282,-7.582,10.919,12.372,10.840,-1.370,10.307,8.227,7.856,4.621,7.876,5.365,7.864,3.388,7.452
296.mp3,166.709,1885.312,1.191,1.015,0.030,0.017,1730.339,688.293,21.558,8.912,3744.873,1944.266,2610.511,729.651,0.001285,0.033818,-0.099,0.088,-0.014,0.123,-0.100,0.142,0.088,0.148,-0.013,0.053,0.007,0.073,0.525,0.714,0.352,0.355,0.377,0.686,0.759,0.672,1.000,0.778,0.449,0.302,152.967,23.297,-4.418,20.013,44.872,14.101,14.590,17.143,21.487,13.027,-1.571,11.068,11.759,10.749,2.759,9.209,-3.997,9.141,-2.091,9.111,-3.043,8.829,-5.019,7.762
1794.mp3,129.199,1882.224,1.388,2.246,0.024,0.019,1360.704,765.548,20.531,8.360,2817.422,1946.030,1945.964,820.541,0.000038,0.000090,0.077,0.161,-0.120,0.147,0.112,0.210,-0.015,0.140,-0.031,0.092,-0.032,0.070,0.506,0.576,0.698,0.670,0.604,0.329,0.334,0.374,0.305,0.316,0.262,1.000,171.115,25.392,-9.971,36.069,46.204,26.385,14.937,20.036,1.945,15.870,17.729,14.922,17.481,13.586,5.187,11.698,7.877,12.442,-7.300,12.335,-5.489,12.196,1.302,11.886
105.mp3,107.666,1940.157,1.198,1.514,0.052,0.028,2358.836,848.032,20.074,10.682,4746.673,2049.457,2785.661,777.663,0.001254,0.032430,0.022,0.078,0.068,0.079,0.056,0.120,0.003,0.076,0.020,0.040,-0.021,0.036,0.431,0.411,0.500,0.427,0.435,0.510,0.519,1.000,0.683,0.474,0.465,0.402,156.710,32.156,-38.074,20.123,40.998,24.618,8.870,19.902,29.016,15.232,-13.251,13.378,4.784,13.601,-4.505,10.041,8.089,10.865,-3.121,9.086,4.005,8.665,4.581,8.363
1163.mp3,99.384,1984.399,1.199,1.362,0.056,0.055,2865.503,1704.191,21.116,10.394,6183.301,3328.194,3285.038,1052.310,0.000536,0.000993,0.152,0.163,-0.233,0.129,0.095,0.179,0.120,0.196,0.000,0.077,-0.036,0.077,0.347,0.229,0.233,0.326,1.000,0.525,0.613,0.429,0.484,0.498,0.328,0.814,132.044,41.017,-4.960,32.829,49.941,23.424,-12.840,17.076,28.867,16.764,-0.721,13.403,21.264,13.425,-1.920,12.519,7.264,10.460,-9.168,9.512,5.046,11.540,-3.653,9.020
1675.mp3,112.347,1843.747,1.072,0.798,0.071,0.028,2491.591,743.627,20.406,10.696,4614.639,1612.884,2473.161,523.402,0.000208,0.000538,-0.014,0.088,0.000,0.084,0.031,0.080,0.017,0.083,0.010,0.046,-0.009,0.033,0.776,0.731,0.720,0.904,1.000,0.795,0.662,0.628,0.725,0.646,0.925,0.839,164.645,31.495,-76.331,18.093,34.916,16.089,-17.030,14.622,35.275,18.701,0.208,12.179,3.106,12.124,-9.195,10.963,0.250,10.740,8.437,9.311,-5.256,8.681,2.738,8.153
1325.mp3,161.499,1923.103,1.102,1.203,0.069,0.055,3194.230,1054.281,19.441,11.300,6749.281,2027.413,3599.329,455.190,0.000828,0.001482,-0.060,0.083,0.006,0.099,-0.026,0.098,-0.019,0.104,0.008,0.039,-0.019,0.035,0.679,0.815,0.827,0.825,0.761,0.802,0.592,0.522,0.654,0.574,1.000,0.774,129.965,30.380,-30.349,16.667,39.814,17.978,-17.223,16.031,24.059,12.084,-16.275,11.825,17.064,9.108,-15.846,11.217,8.096,9.425,-12.909,11.466,2.502,8.619,1.217,7.721
425.mp3,120.185,1699.514,1.296,1.904,0.068,0.039,3444.486,1018.321,19.721,12.149,7213.373,2097.307,3501.353,615.143,0.001665,0.035856,0.062,0.052,0.004,0.063,0.025,0.061,0.059,0.075,0.014,0.023,0.006,0.025,1.000,0.858,0.681,0.593,0.864,0.576,0.569,0.875,0.705,0.787,0.670,0.823,120.546,28.696,-38.133,21.128,60.378,16.048,-15.292,13.646,24.323,9.976,-14.432,10.065,17.951,9.796,-6.434,8.701,8.182,9.295,-0.067,9.477,2.922,7.893,6.003,7.606
135.mp3,117.454,1976.638,0.872,0.623,0.048,0.051,1757.786,1304.556,23.639,8.497,3012.330,2425.824,2031.679,715.472,0.000969,0.027806,0.045,0.205,-0.242,0.207,-0.004,0.267,-0.224,0.256,0.010,0.118,-0.003,0.102,0.357,0.592,0.639,0.274,0.409,0.269,1.000,0.458,0.244,0.262,0.487,0.737,121.153,34.601,7.491,34.914,17.520,25.267,12.247,21.128,7.158,14.577,-4.259,18.257,4.024,14.793,-6.384,10.027,-19.929,14.721,-5.732,10.649,-6.496,16.715,-10.868,16.191
